Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
54805.98,14853897.87,8.40,24750893.04,6.93,34646850.45,5.96,44543809.93,5.49,54440580.40,6.34,64338071.14,6.87,54795.76,14855348.96,16.31,24754599.28,10.49,34652369.52,7.54,44550907.15,7.47,54449231.59,9.08,64348243.41,9.45,54800.68,14847638.81,16.04,24742027.82,10.46,34634993.05,7.60,44528790.20,7.68,54422385.11,9.56,64316698.96,9.96
54870.91,14853897.86,8.40,24750893.03,6.93,34646850.43,5.96,44543809.90,5.49,54440580.37,6.34,64338071.11,6.87,54860.70,14855348.95,16.31,24754599.27,10.49,34652369.50,7.54,44550907.12,7.47,54449231.55,9.08,64348243.35,9.45,54865.62,14847638.80,16.04,24742027.81,10.46,34634993.03,7.60,44528790.17,7.68,54422385.08,9.56,64316698.96,9.95
54935.81,14853897.85,8.40,24750893.01,6.93,34646850.40,5.96,44543809.86,5.49,54440580.32,6.34,64338071.06,6.87,54925.61,14855348.94,16.31,24754599.25,10.49,34652369.47,7.54,44550907.09,7.47,54449231.51,9.08,64348243.32,9.45,54930.53,14847638.79,16.04,24742027.78,10.46,34634993.00,7.60,44528790.13,7.68,54422385.02,9.56,64316698.89,9.96
55000.73,14853897.84,8.40,24750893.00,6.93,34646850.38,5.96,44543809.83,5.49,54440580.29,6.34,64338071.01,6.87,54990.53,14855348.93,16.31,24754599.24,10.49,34652369.46,7.54,44550907.07,7.47,54449231.50,9.08,64348243.29,9.45,54995.45,14847638.79,16.04,24742027.78,10.46,34634992.99,7.60,44528790.12,7.68,54422384.99,9.56,64316698.85,9.96
55065.64,14853897.83,8.40,24750893.00,6.93,34646850.37,5.96,44543809.82,5.49,54440580.27,6.34,64338071.00,6.87,55055.43,14855348.93,16.31,24754599.23,10.49,34652369.44,7.54,44550907.05,7.47,54449231.46,9.08,64348243.24,9.45,55060.36,14847638.78,16.05,24742027.77,10.46,34634992.98,7.60,44528790.10,7.68,54422384.99,9.56,64316698.83,9.96
55130.56,14853897.81,8.40,24750892.98,6.93,34646850.34,5.96,44543809.78,5.49,54440580.22,6.34,64338070.93,6.87,55120.35,14855348.91,16.31,24754599.21,10.49,34652369.40,7.54,44550907.01,7.47,54449231.41,9.08,64348243.19,9.45,55125.27,14847638.76,16.05,24742027.74,10.46,34634992.94,7.60,44528790.05,7.68,54422384.93,9.56,64316698.77,9.96
55195.47,14853897.80,8.40,24750892.97,6.93,34646850.32,5.96,44543809.76,5.49,54440580.20,6.34,64338070.91,6.87,55185.26,14855348.90,16.31,24754599.19,10.49,34652369.38,7.54,44550906.99,7.47,54449231.39,9.08,64348243.17,9.45,55190.18,14847638.76,16.05,24742027.73,10.46,34634992.93,7.60,44528790.04,7.68,54422384.90,9.56,64316698.75,9.96
55260.38,14853897.80,8.40,24750892.97,6.93,34646850.32,5.96,44543809.75,5.49,54440580.18,6.34,64338070.88,6.87,55250.17,14855348.90,16.31,24754599.19,10.49,34652369.37,7.54,44550906.98,7.47,54449231.37,9.08,64348243.15,9.45,55255.09,14847638.76,16.05,24742027.73,10.46,34634992.92,7.60,44528790.03,7.68,54422384.89,9.56,64316698.72,9.96
55325.30,14853897.79,8.40,24750892.96,6.93,34646850.30,5.96,44543809.72,5.49,54440580.14,6.34,64338070.84,6.87,55315.09,14855348.89,16.31,24754599.17,10.49,34652369.34,7.54,44550906.95,7.47,54449231.34,9.08,64348243.10,9.45,55320.01,14847638.75,16.04,24742027.72,10.46,34634992.91,7.60,44528790.01,7.68,54422384.87,9.56,64316698.71,9.96
55390.28,14853897.78,8.40,24750892.95,6.94,34646850.28,5.96,44543809.69,5.49,54440580.10,6.34,64338070.80,6.87,55380.07,14855348.89,16.31,24754599.15,10.49,34652369.33,7.54,44550906.92,7.47,54449231.30,9.08,64348243.06,9.45,55384.99,14847638.74,16.05,24742027.70,10.46,34634992.89,7.60,44528789.98,7.68,54422384.83,9.56,64316698.67,9.96
55455.17,14853897.76,8.40,24750892.94,6.94,34646850.26,5.96,44543809.66,5.49,54440580.08,6.34,64338070.77,6.87,55444.97,14855348.88,16.31,24754599.15,10.49,34652369.30,7.54,44550906.90,7.47,54449231.28,9.08,64348243.02,9.45,55449.89,14847638.74,16.05,24742027.69,10.46,34634992.86,7.60,44528789.95,7.68,54422384.79,9.56,64316698.61,9.96
55520.14,14853897.75,8.40,24750892.92,6.94,34646850.24,5.96,44543809.62,5.49,54440580.02,6.34,64338070.70,6.87,55509.91,14855348.86,16.31,24754599.12,10.49,34652369.27,7.54,44550906.85,7.47,54449231.21,9.08,64348242.97,9.45,55514.84,14847638.72,16.05,24742027.67,10.46,34634992.83,7.60,44528789.91,7.68,54422384.73,9.56,64316698.55,9.96
55585.05,14853897.74,8.40,24750892.91,6.94,34646850.20,5.96,44543809.59,5.49,54440579.98,6.34,64338070.66,6.87,55574.85,14855348.85,16.31,24754599.11,10.49,34652369.24,7.54,44550906.83,7.47,54449231.19,9.08,64348242.92,9.45,55579.77,14847638.71,16.05,24742027.65,10.46,34634992.81,7.60,44528789.88,7.68,54422384.72,9.56,64316698.53,9.96
55649.96,14853897.74,8.40,24750892.91,6.94,34646850.21,5.97,44543809.59,5.49,54440579.98,6.34,64338070.66,6.87,55639.76,14855348.85,16.31,24754599.11,10.49,34652369.25,7.54,44550906.83,7.47,54449231.19,9.08,64348242.93,9.45,55644.68,14847638.71,16.05,24742027.65,10.46,34634992.81,7.60,44528789.89,7.68,54422384.72,9.56,64316698.53,9.96
55714.89,14853897.72,8.40,24750892.90,6.94,34646850.18,5.97,44543809.55,5.49,54440579.94,6.34,64338070.60,6.87,55704.68,14855348.84,16.31,24754599.09,10.49,34652369.22,7.54,44550906.80,7.47,54449231.15,9.08,64348242.88,9.45,55709.60,14847638.70,16.05,24742027.63,10.46,34634992.78,7.60,44528789.85,7.68,54422384.67,9.56,64316698.48,9.96
55779.80,14853897.72,8.39,24750892.89,6.94,34646850.17,5.97,44543809.53,5.49,54440579.91,6.34,64338070.57,6.87,55769.60,14855348.83,16.31,24754599.07,10.49,34652369.20,7.54,44550906.76,7.47,54449231.11,9.08,64348242.83,9.45,55774.52,14847638.69,16.05,24742027.61,10.46,34634992.76,7.60,44528789.82,7.68,54422384.65,9.56,64316698.43,9.95
55844.76,14853897.70,8.39,24750892.88,6.94,34646850.16,5.97,44543809.51,5.49,54440579.88,6.34,64338070.52,6.87,55834.55,14855348.83,16.31,24754599.06,10.49,34652369.18,7.54,44550906.74,7.47,54449231.10,9.08,64348242.81,9.45,55839.47,14847638.69,16.05,24742027.60,10.46,34634992.74,7.60,44528789.79,7.68,54422384.60,9.56,64316698.39,9.96
55909.69,14853897.68,8.39,24750892.86,6.94,34646850.12,5.97,44543809.47,5.49,54440579.83,6.34,64338070.48,6.87,55899.48,14855348.81,16.31,24754599.04,10.49,34652369.15,7.54,44550906.70,7.47,54449231.03,9.08,64348242.75,9.45,55904.41,14847638.67,16.05,24742027.58,10.46,34634992.70,7.60,44528789.74,7.68,54422384.54,9.56,64316698.32,9.96
55974.61,14853897.67,8.39,24750892.84,6.94,34646850.09,5.97,44543809.42,5.49,54440579.78,6.34,64338070.41,6.87,55964.40,14855348.79,16.31,24754599.02,10.49,34652369.11,7.54,44550906.66,7.47,54449230.98,9.08,64348242.68,9.45,55969.32,14847638.65,16.05,24742027.55,10.46,34634992.67,7.60,44528789.70,7.68,54422384.48,9.56,64316698.26,9.96
56039.52,14853897.66,8.39,24750892.84,6.94,34646850.09,5.97,44543809.41,5.49,54440579.76,6.34,64338070.39,6.87,56029.32,14855348.79,16.31,24754599.00,10.49,34652369.09,7.54,44550906.63,7.47,54449230.96,9.08,64348242.65,9.45,56034.24,14847638.65,16.05,24742027.54,10.46,34634992.65,7.60,44528789.67,7.68,54422384.46,9.56,64316698.22,9.96
56104.43,14853897.65,8.39,24750892.83,6.94,34646850.06,5.97,44543809.37,5.49,54440579.72,6.34,64338070.33,6.87,56094.23,14855348.77,16.31,24754598.98,10.49,34652369.07,7.54,44550906.60,7.47,54449230.91,9.08,64348242.61,9.45,56099.15,14847638.64,16.05,24742027.53,10.46,34634992.64,7.60,44528789.65,7.68,54422384.44,9.56,64316698.19,9.96
56169.34,14853897.64,8.39,24750892.82,6.94,34646850.05,5.97,44543809.36,5.49,54440579.70,6.34,64338070.31,6.87,56159.14,14855348.77,16.31,24754598.97,10.49,34652369.05,7.54,44550906.59,7.47,54449230.89,9.08,64348242.58,9.45,56164.06,14847638.63,16.05,24742027.52,10.46,34634992.61,7.60,44528789.64,7.68,54422384.41,9.56,64316698.17,9.96
56234.24,14853897.64,8.39,24750892.81,6.94,34646850.04,5.97,44543809.34,5.49,54440579.68,6.34,64338070.28,6.87,56224.03,14855348.77,16.31,24754598.97,10.49,34652369.04,7.54,44550906.57,7.47,54449230.88,9.08,64348242.56,9.45,56228.95,14847638.63,16.05,24742027.51,10.46,34634992.61,7.60,44528789.63,7.68,54422384.40,9.56,64316698.15,9.96
56299.22,14853897.63,8.39,24750892.81,6.94,34646850.03,5.97,44543809.32,5.49,54440579.65,6.34,64338070.26,6.87,56289.00,14855348.76,16.31,24754598.95,10.49,34652369.02,7.54,44550906.55,7.47,54449230.85,9.08,64348242.53,9.45,56293.94,14847638.63,16.05,24742027.50,10.46,34634992.59,7.60,44528789.60,7.68,54422384.37,9.56,64316698.11,9.96
56364.14,14853897.62,8.39,24750892.79,6.94,34646849.99,5.97,44543809.28,5.49,54440579.60,6.34,64338070.20,6.87,56353.93,14855348.75,16.31,24754598.93,10.49,34652368.99,7.53,44550906.51,7.47,54449230.81,9.08,64348242.47,9.45,56358.86,14847638.61,16.05,24742027.48,10.46,34634992.57,7.60,44528789.57,7.68,54422384.34,9.56,64316698.08,9.96
56429.06,14853897.60,8.39,24750892.78,6.94,34646849.97,5.97,44543809.27,5.49,54440579.58,6.34,64338070.18,6.87,56418.85,14855348.74,16.31,24754598.92,10.49,34652368.98,7.53,44550906.50,7.47,54449230.80,9.08,64348242.45,9.45,56423.77,14847638.61,16.05,24742027.48,10.46,34634992.57,7.60,44528789.56,7.68,54422384.32,9.56,64316698.05,9.96
56493.99,14853897.59,8.39,24750892.77,6.94,34646849.95,5.97,44543809.24,5.49,54440579.55,6.34,64338070.13,6.87,56483.76,14855348.74,16.31,24754598.92,10.49,34652368.96,7.53,44550906.47,7.47,54449230.75,9.08,64348242.42,9.45,56488.69,14847638.61,16.05,24742027.47,10.46,34634992.55,7.60,44528789.54,7.68,54422384.29,9.56,64316698.03,9.96
56558.95,14853897.59,8.39,24750892.76,6.94,34646849.94,5.97,44543809.21,5.49,54440579.52,6.34,64338070.10,6.87,56548.74,14855348.73,16.31,24754598.90,10.49,34652368.94,7.53,44550906.46,7.47,54449230.73,9.08,64348242.38,9.45,56553.66,14847638.60,16.05,24742027.46,10.46,34634992.54,7.60,44528789.54,7.68,54422384.29,9.56,64316698.02,9.96
56623.86,14853897.58,8.39,24750892.75,6.94,34646849.92,5.97,44543809.19,5.49,54440579.49,6.34,64338070.06,6.87,56613.65,14855348.72,16.31,24754598.89,10.49,34652368.93,7.53,44550906.43,7.47,54449230.69,9.08,64348242.34,9.45,56618.58,14847638.60,16.05,24742027.45,10.46,34634992.52,7.60,44528789.51,7.68,54422384.26,9.56,64316697.99,9.96
56688.76,14853897.58,8.39,24750892.75,6.94,34646849.91,5.97,44543809.18,5.49,54440579.46,6.34,64338070.02,6.87,56678.55,14855348.71,16.31,24754598.88,10.49,34652368.91,7.53,44550906.41,7.47,54449230.68,9.08,64348242.32,9.45,56683.47,14847638.59,16.05,24742027.45,10.46,34634992.53,7.60,44528789.52,7.68,54422384.26,9.56,64316697.99,9.96
56753.66,14853897.56,8.39,24750892.73,6.94,34646849.89,5.97,44543809.15,5.49,54440579.44,6.34,64338069.99,6.87,56743.46,14855348.71,16.31,24754598.87,10.49,34652368.89,7.53,44550906.39,7.47,54449230.65,9.08,64348242.29,9.45,56748.37,14847638.59,16.05,24742027.44,10.46,34634992.51,7.60,44528789.48,7.68,54422384.22,9.56,64316697.93,9.96
56818.57,14853897.55,8.39,24750892.72,6.94,34646849.87,5.97,44543809.11,5.49,54440579.39,6.34,64338069.94,6.87,56808.36,14855348.70,16.31,24754598.85,10.49,34652368.88,7.53,44550906.37,7.47,54449230.62,9.08,64348242.25,9.45,56813.29,14847638.58,16.05,24742027.43,10.46,34634992.49,7.60,44528789.47,7.68,54422384.20,9.56,64316697.92,9.96
56883.49,14853897.54,8.39,24750892.70,6.94,34646849.84,5.97,44543809.08,5.49,54440579.35,6.34,64338069.90,6.87,56873.28,14855348.69,16.31,24754598.84,10.49,34652368.86,7.53,44550906.34,7.47,54449230.58,9.08,64348242.21,9.45,56878.20,14847638.58,16.05,24742027.41,10.46,34634992.47,7.60,44528789.45,7.68,54422384.17,9.56,64316697.88,9.96
56948.39,14853897.53,8.39,24750892.69,6.94,34646849.81,5.97,44543809.04,5.49,54440579.31,6.34,64338069.86,6.87,56938.18,14855348.68,16.31,24754598.82,10.49,34652368.83,7.53,44550906.31,7.47,54449230.55,9.08,64348242.17,9.45,56943.10,14847638.57,16.05,24742027.40,10.46,34634992.45,7.60,44528789.42,7.68,54422384.13,9.56,64316697.84,9.96
57013.31,14853897.52,8.39,24750892.68,6.94,34646849.81,5.97,44543809.03,5.49,54440579.29,6.34,64338069.83,6.87,57003.10,14855348.68,16.31,24754598.81,10.49,34652368.80,7.53,44550906.28,7.47,54449230.51,9.08,64348242.14,9.45,57008.02,14847638.56,16.05,24742027.39,10.46,34634992.44,7.60,44528789.40,7.68,54422384.12,9.56,64316697.82,9.96
57078.23,14853897.52,8.39,24750892.67,6.94,34646849.79,5.97,44543809.00,5.49,54440579.25,6.34,64338069.78,6.87,57068.03,14855348.67,16.31,24754598.80,10.49,34652368.79,7.53,44550906.27,7.47,54449230.50,9.08,64348242.11,9.45,57072.94,14847638.56,16.05,24742027.38,10.46,34634992.44,7.60,44528789.39,7.68,54422384.11,9.56,64316697.81,9.96
57143.16,14853897.51,8.39,24750892.66,6.94,34646849.77,5.97,44543808.98,5.49,54440579.22,6.34,64338069.76,6.87,57132.95,14855348.66,16.31,24754598.78,10.49,34652368.77,7.53,44550906.25,7.47,54449230.47,9.08,64348242.08,9.45,57137.88,14847638.55,16.05,24742027.38,10.46,34634992.42,7.60,44528789.38,7.68,54422384.10,9.56,64316697.77,9.95
57208.09,14853897.50,8.39,24750892.66,6.94,34646849.75,5.97,44543808.96,5.49,54440579.20,6.34,64338069.73,6.87,57197.88,14855348.65,16.31,24754598.77,10.49,34652368.75,7.53,44550906.21,7.47,54449230.43,9.08,64348242.04,9.45,57202.80,14847638.55,16.05,24742027.36,10.46,34634992.40,7.60,44528789.36,7.68,54422384.06,9.56,64316697.75,9.96
57272.97,14853897.49,8.39,24750892.64,6.94,34646849.72,5.97,44543808.93,5.49,54440579.16,6.34,64338069.69,6.87,57262.77,14855348.65,16.31,24754598.76,10.49,34652368.73,7.53,44550906.19,7.47,54449230.40,9.08,64348241.99,9.45,57267.69,14847638.54,16.05,24742027.34,10.46,34634992.37,7.60,44528789.32,7.68,54422384.03,9.56,64316697.69,9.96
57337.87,14853897.49,8.39,24750892.63,6.94,34646849.72,5.97,44543808.91,5.49,54440579.15,6.34,64338069.65,6.87,57327.66,14855348.64,16.31,24754598.75,10.49,34652368.72,7.53,44550906.18,7.47,54449230.38,9.08,64348241.97,9.45,57332.58,14847638.53,16.04,24742027.34,10.46,34634992.37,7.60,44528789.30,7.68,54422384.00,9.56,64316697.67,9.96
57402.80,14853897.48,8.39,24750892.62,6.94,34646849.70,5.97,44543808.88,5.49,54440579.12,6.34,64338069.63,6.87,57392.59,14855348.63,16.31,24754598.74,10.49,34652368.70,7.53,44550906.16,7.47,54449230.37,9.08,64348241.96,9.45,57397.51,14847638.53,16.05,24742027.33,10.46,34634992.36,7.60,44528789.30,7.68,54422383.99,9.56,64316697.66,9.96
57467.75,14853897.48,8.39,24750892.62,6.94,34646849.69,5.98,44543808.89,5.48,54440579.11,6.34,64338069.62,6.87,57457.53,14855348.64,16.31,24754598.73,10.49,34652368.69,7.53,44550906.16,7.47,54449230.35,9.08,64348241.94,9.45,57462.47,14847638.53,16.04,24742027.34,10.46,34634992.35,7.60,44528789.29,7.68,54422383.99,9.56,64316697.65,9.96
57532.67,14853897.47,8.39,24750892.61,6.94,34646849.66,5.98,44543808.85,5.48,54440579.06,6.34,64338069.58,6.87,57522.46,14855348.63,16.31,24754598.72,10.49,34652368.68,7.53,44550906.13,7.47,54449230.33,9.08,64348241.89,9.45,57527.38,14847638.52,16.05,24742027.32,10.46,34634992.34,7.60,44528789.27,7.68,54422383.96,9.56,64316697.63,9.96
57597.57,14853897.45,8.39,24750892.60,6.94,34646849.65,5.98,44543808.82,5.48,54440579.02,6.34,64338069.53,6.87,57587.37,14855348.62,16.31,24754598.70,10.49,34652368.64,7.53,44550906.09,7.47,54449230.27,9.08,64348241.84,9.45,57592.29,14847638.51,16.04,24742027.30,10.46,34634992.31,7.60,44528789.24,7.68,54422383.93,9.56,64316697.58,9.96
57662.48,14853897.45,8.39,24750892.59,6.94,34646849.64,5.98,44543808.80,5.48,54440579.00,6.34,64338069.51,6.87,57652.27,14855348.61,16.31,24754598.69,10.49,34652368.63,7.53,44550906.07,7.47,54449230.26,9.08,64348241.82,9.45,57657.19,14847638.51,16.04,24742027.30,10.46,34634992.31,7.60,44528789.23,7.68,54422383.90,9.56,64316697.56,9.96
57727.39,14853897.43,8.39,24750892.57,6.94,34646849.60,5.98,44543808.75,5.48,54440578.95,6.34,64338069.44,6.87,57717.18,14855348.59,16.31,24754598.67,10.49,34652368.61,7.53,44550906.04,7.47,54449230.21,9.08,64348241.76,9.45,57722.10,14847638.50,16.04,24742027.28,10.46,34634992.28,7.60,44528789.20,7.68,54422383.87,9.56,64316697.52,9.95
57792.29,14853897.43,8.39,24750892.56,6.94,34646849.59,5.98,44543808.74,5.48,54440578.93,6.34,64338069.41,6.87,57782.09,14855348.59,16.31,24754598.67,10.49,34652368.59,7.53,44550906.02,7.47,54449230.20,9.08,64348241.75,9.45,57787.01,14847638.50,16.05,24742027.27,10.46,34634992.27,7.60,44528789.18,7.68,54422383.85,9.56,64316697.50,9.95
57857.25,14853897.43,8.39,24750892.56,6.94,34646849.61,5.98,44543808.74,5.48,54440578.93,6.34,64338069.38,6.87,57847.04,14855348.60,16.31,24754598.67,10.49,34652368.60,7.53,44550906.03,7.47,54449230.20,9.08,64348241.74,9.45,57851.96,14847638.50,16.04,24742027.28,10.46,34634992.28,7.60,44528789.20,7.68,54422383.87,9.56,64316697.52,9.96
57922.17,14853897.42,8.39,24750892.56,6.94,34646849.58,5.98,44543808.72,5.48,54440578.90,6.34,64338069.39,6.87,57911.96,14855348.59,16.31,24754598.66,10.49,34652368.59,7.53,44550906.01,7.47,54449230.18,9.08,64348241.73,9.45,57916.89,14847638.50,16.04,24742027.28,10.46,34634992.28,7.60,44528789.20,7.68,54422383.87,9.56,64316697.52,9.96
57987.08,14853897.42,8.39,24750892.54,6.94,34646849.56,5.98,44543808.69,5.48,54440578.87,6.34,64338069.34,6.87,57976.88,14855348.59,16.31,24754598.64,10.49,34652368.57,7.53,44550905.98,7.47,54449230.15,9.08,64348241.69,9.45,57981.80,14847638.50,16.04,24742027.27,10.46,34634992.27,7.60,44528789.18,7.68,54422383.85,9.56,64316697.49,9.96
58051.98,14853897.40,8.39,24750892.52,6.94,34646849.55,5.98,44543808.66,5.48,54440578.83,6.34,64338069.29,6.87,58041.78,14855348.58,16.31,24754598.63,10.49,34652368.54,7.53,44550905.95,7.47,54449230.10,9.08,64348241.63,9.45,58046.70,14847638.48,16.04,24742027.26,10.46,34634992.24,7.60,44528789.15,7.68,54422383.81,9.56,64316697.44,9.96
58116.91,14853897.39,8.39,24750892.51,6.94,34646849.53,5.98,44543808.63,5.48,54440578.80,6.34,64338069.26,6.87,58106.70,14855348.56,16.31,24754598.61,10.49,34652368.52,7.53,44550905.93,7.47,54449230.07,9.08,64348241.61,9.45,58111.63,14847638.48,16.04,24742027.24,10.46,34634992.23,7.60,44528789.13,7.68,54422383.78,9.56,64316697.43,9.96
58181.83,14853897.38,8.39,24750892.50,6.94,34646849.51,5.98,44543808.61,5.48,54440578.77,6.34,64338069.22,6.87,58171.62,14855348.56,16.31,24754598.60,10.49,34652368.50,7.53,44550905.91,7.47,54449230.04,9.08,64348241.57,9.45,58176.54,14847638.47,16.04,24742027.24,10.46,34634992.22,7.60,44528789.11,7.68,54422383.75,9.56,64316697.39,9.96
58246.74,14853897.38,8.39,24750892.50,6.94,34646849.48,5.98,44543808.59,5.48,54440578.74,6.34,64338069.17,6.87,58236.54,14855348.55,16.31,24754598.59,10.49,34652368.48,7.53,44550905.88,7.47,54449230.03,9.08,64348241.55,9.45,58241.46,14847638.47,16.04,24742027.23,10.46,34634992.21,7.60,44528789.11,7.68,54422383.75,9.56,64316697.38,9.95
58311.65,14853897.38,8.39,24750892.49,6.94,34646849.48,5.98,44543808.58,5.48,54440578.74,6.34,64338069.18,6.87,58301.45,14855348.55,16.31,24754598.59,10.49,34652368.48,7.53,44550905.88,7.47,54449230.02,9.08,64348241.53,9.45,58306.36,14847638.47,16.04,24742027.23,10.46,34634992.21,7.60,44528789.10,7.68,54422383.75,9.56,64316697.38,9.96
58376.55,14853897.37,8.39,24750892.49,6.94,34646849.48,5.98,44543808.57,5.48,54440578.72,6.34,64338069.16,6.87,58366.34,14855348.55,16.31,24754598.58,10.49,34652368.47,7.53,44550905.87,7.47,54449230.00,9.08,64348241.51,9.45,58371.27,14847638.47,16.04,24742027.23,10.46,34634992.20,7.60,44528789.09,7.68,54422383.74,9.56,64316697.37,9.96
58441.50,14853897.37,8.39,24750892.47,6.94,34646849.46,5.98,44543808.53,5.48,54440578.67,6.34,64338069.10,6.87,58431.29,14855348.54,16.31,24754598.56,10.49,34652368.44,7.53,44550905.84,7.47,54449229.96,9.08,64348241.46,9.45,58436.21,14847638.46,16.04,24742027.21,10.46,34634992.18,7.60,44528789.07,7.68,54422383.70,9.56,64316697.33,9.96
58506.41,14853897.36,8.39,24750892.47,6.94,34646849.45,5.98,44543808.52,5.48,54440578.66,6.34,64338069.09,6.87,58496.20,14855348.53,16.31,24754598.56,10.49,34652368.43,7.53,44550905.82,7.47,54449229.95,9.08,64348241.45,9.45,58501.12,14847638.45,16.04,24742027.20,10.46,34634992.17,7.60,44528789.05,7.68,54422383.68,9.56,64316697.31,9.96
58571.33,14853897.34,8.39,24750892.46,6.94,34646849.41,5.98,44543808.50,5.48,54440578.63,6.34,64338069.06,6.87,58561.12,14855348.53,16.31,24754598.55,10.49,34652368.41,7.53,44550905.80,7.47,54449229.92,9.08,64348241.42,9.45,58566.04,14847638.45,16.04,24742027.19,10.46,34634992.15,7.60,44528789.03,7.68,54422383.64,9.56,64316697.26,9.96
58636.28,14853897.33,8.39,24750892.44,6.94,34646849.39,5.98,44543808.46,5.48,54440578.58,6.34,64338069.00,6.87,58626.06,14855348.52,16.31,24754598.53,10.49,34652368.38,7.53,44550905.77,7.47,54449229.88,9.08,64348241.36,9.45,58630.98,14847638.44,16.04,24742027.17,10.46,34634992.12,7.60,44528789.00,7.68,54422383.60,9.56,64316697.21,9.96
58701.18,14853897.31,8.39,24750892.41,6.94,34646849.34,5.98,44543808.40,5.48,54440578.51,6.34,64338068.92,6.87,58690.97,14855348.50,16.31,24754598.50,10.49,34652368.34,7.53,44550905.71,7.47,54449229.81,9.08,64348241.28,9.45,58695.89,14847638.42,16.04,24742027.14,10.46,34634992.08,7.60,44528788.94,7.68,54422383.54,9.56,64316697.14,9.96
58766.10,14853897.31,8.39,24750892.41,6.94,34646849.34,5.98,44543808.39,5.48,54440578.49,6.34,64338068.89,6.87,58755.89,14855348.49,16.31,24754598.49,10.49,34652368.33,7.53,44550905.69,7.47,54449229.78,9.08,64348241.25,9.45,58760.81,14847638.41,16.04,24742027.13,10.46,34634992.06,7.60,44528788.91,7.68,54422383.52,9.56,64316697.10,9.96
58831.03,14853897.29,8.39,24750892.39,6.94,34646849.31,5.98,44543808.35,5.48,54440578.45,6.34,64338068.84,6.87,58820.82,14855348.48,16.31,24754598.46,10.49,34652368.29,7.53,44550905.65,7.47,54449229.74,9.08,64348241.19,9.45,58825.74,14847638.40,16.04,24742027.10,10.46,34634992.03,7.60,44528788.87,7.68,54422383.46,9.56,64316697.04,9.96
58895.90,14853897.27,8.39,24750892.36,6.95,34646849.27,5.98,44543808.29,5.48,54440578.38,6.34,64338068.75,6.87,58885.71,14855348.46,16.31,24754598.43,10.49,34652368.24,7.53,44550905.59,7.47,54449229.66,9.08,64348241.12,9.45,58890.61,14847638.37,16.05,24742027.07,10.46,34634991.98,7.60,44528788.80,7.68,54422383.38,9.56,64316696.93,9.96
58960.76,14853897.26,8.39,24750892.35,6.95,34646849.25,5.98,44543808.28,5.48,54440578.36,6.34,64338068.73,6.87,58950.55,14855348.45,16.31,24754598.42,10.49,34652368.23,7.53,44550905.58,7.47,54449229.65,9.08,64348241.10,9.45,58955.48,14847638.37,16.05,24742027.06,10.46,34634991.97,7.60,44528788.79,7.68,54422383.35,9.56,64316696.92,9.95
59025.64,14853897.25,8.39,24750892.34,6.95,34646849.24,5.98,44543808.26,5.48,54440578.33,6.34,64338068.69,6.87,59015.46,14855348.44,16.31,24754598.41,10.49,34652368.21,7.53,44550905.55,7.47,54449229.62,9.08,64348241.06,9.45,59020.38,14847638.36,16.05,24742027.03,10.46,34634991.93,7.60,44528788.75,7.68,54422383.31,9.56,64316696.87,9.96
59090.46,14853897.24,8.39,24750892.34,6.95,34646849.23,5.98,44543808.23,5.48,54440578.30,6.34,64338068.67,6.87,59080.26,14855348.43,16.31,24754598.40,10.49,34652368.18,7.53,44550905.53,7.47,54449229.59,9.08,64348241.02,9.45,59085.18,14847638.34,16.05,24742027.02,10.46,34634991.91,7.60,44528788.71,7.68,54422383.26,9.56,64316696.80,9.95
59155.36,14853897.21,8.39,24750892.32,6.95,34646849.19,5.98,44543808.18,5.48,54440578.24,6.34,64338068.57,6.87,59145.16,14855348.40,16.31,24754598.36,10.49,34652368.13,7.53,44550905.46,7.47,54449229.49,9.08,64348240.91,9.45,59150.08,14847638.31,16.05,24742026.96,10.46,34634991.83,7.60,44528788.62,7.68,54422383.15,9.56,64316696.67,9.96
59220.25,14853897.18,8.39,24750892.29,6.96,34646849.14,5.98,44543808.11,5.48,54440578.15,6.34,64338068.48,6.87,59210.05,14855348.38,16.31,24754598.31,10.49,34652368.07,7.53,44550905.38,7.47,54449229.41,9.08,64348240.82,9.45,59214.97,14847638.28,16.05,24742026.92,10.46,34634991.76,7.60,44528788.52,7.68,54422383.04,9.56,64316696.53,9.96
