Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
838.82,14853919.95,8.21,24750943.07,6.80,34646920.22,6.26,44543896.60,5.49,54440686.52,6.33,64338197.87,6.87,820.69,14855375.52,15.84,24754634.10,9.25,34652407.73,6.73,44550957.53,6.86,54449279.59,8.01,64348241.71,9.35,833.55,14847649.89,16.12,24742045.88,10.45,34635019.27,7.59,44528824.72,7.68,54422428.08,9.55,64316750.08,9.95
922.70,14853919.61,8.21,24750942.32,6.80,34646919.14,6.26,44543895.24,5.49,54440684.85,6.33,64338195.91,6.87,899.16,14855370.92,16.19,24754631.90,9.94,34652410.49,7.16,44550960.45,7.20,54449290.69,8.57,64348284.38,9.41,917.41,14847649.82,16.11,24742045.76,10.45,34635019.08,7.59,44528824.47,7.68,54422427.76,9.55,64316749.70,9.95
996.24,14853919.31,8.21,24750941.61,6.80,34646918.11,6.26,44543893.94,5.49,54440683.27,6.33,64338194.04,6.87,978.10,14855375.14,15.83,24754633.40,9.25,34652406.74,6.72,44550956.27,6.86,54449278.20,8.01,64348239.90,9.35,990.97,14847649.77,16.11,24742045.66,10.45,34635018.95,7.59,44528824.30,7.68,54422427.55,9.55,64316749.44,9.95
1068.57,14853919.03,8.21,24750940.99,6.80,34646916.98,6.26,44543892.79,5.50,54440681.89,6.33,64338192.38,6.87,1050.43,14855374.97,15.83,24754633.10,9.25,34652406.32,6.72,44550955.73,6.86,54449277.51,8.00,64348239.07,9.35,1063.29,14847649.71,16.11,24742045.56,10.45,34635018.79,7.59,44528824.09,7.68,54422427.29,9.55,64316749.14,9.95
1139.14,14853918.77,8.21,24750940.36,6.80,34646915.91,6.27,44543891.66,5.50,54440680.48,6.33,64338190.64,6.87,1127.48,14855369.28,16.27,24754630.45,10.10,34652409.92,7.27,44550959.56,7.29,54449291.46,8.70,64348292.12,9.42,1133.87,14847649.65,16.11,24742045.44,10.45,34635018.62,7.59,44528823.86,7.68,54422427.03,9.55,64316748.83,9.95
1215.56,14853918.50,8.21,24750939.79,6.80,34646915.05,6.26,44543890.63,5.50,54440679.23,6.33,64338189.11,6.87,1199.77,14855365.82,16.53,24754628.77,10.62,34652411.95,7.60,44550961.68,7.54,54449299.55,9.13,64348324.06,9.47,1210.34,14847649.59,16.11,24742045.34,10.45,34635018.46,7.59,44528823.63,7.68,54422426.75,9.55,64316748.50,9.95
1276.52,14853918.30,8.21,24750939.35,6.80,34646914.33,6.26,44543889.79,5.50,54440678.22,6.33,64338187.91,6.87,1258.40,14855374.49,15.82,24754632.24,9.24,34652405.11,6.72,44550954.18,6.86,54449275.60,8.00,64348236.77,9.35,1271.26,14847649.54,16.11,24742045.26,10.45,34635018.36,7.59,44528823.51,7.68,54422426.58,9.55,64316748.30,9.95
1354.99,14853918.05,8.21,24750938.78,6.80,34646913.44,6.26,44543888.74,5.50,54440676.94,6.33,64338186.40,6.87,1338.47,14855372.13,16.00,24754631.02,9.58,34652406.31,6.94,44550955.41,7.03,54449280.80,8.28,64348257.54,9.38,1349.71,14847649.48,16.11,24742045.16,10.45,34635018.21,7.59,44528823.31,7.68,54422426.33,9.55,64316748.01,9.95
1441.28,14853917.79,8.21,24750938.16,6.80,34646912.44,6.26,44543887.59,5.50,54440675.52,6.33,64338184.70,6.87,1428.54,14855375.25,15.73,24754632.09,9.07,34652403.41,6.61,44550952.16,6.77,54449271.29,7.86,64348224.00,9.33,1435.99,14847649.42,16.11,24742045.06,10.45,34635018.07,7.59,44528823.13,7.68,54422426.10,9.55,64316747.72,9.95
1521.48,14853917.54,8.21,24750937.65,6.80,34646911.68,6.26,44543886.65,5.50,54440674.38,6.33,64338183.32,6.87,1503.24,14855374.00,15.82,24754631.36,9.24,34652403.84,6.72,44550952.56,6.86,54449273.60,8.00,64348234.36,9.35,1516.19,14847649.36,16.11,24742044.96,10.45,34635017.90,7.59,44528822.91,7.68,54422425.83,9.55,64316747.40,9.95
